No;Regional Office;POP;Rack;Rack Size;U;Nama Perangkat;Nama Lama;Hostname;CORE;Penamaan;KodeRO;-;KodePOP;-2;NoRack;Kondisi Real;U2
1;Jabatim;Intiland Tower;1;42;42;IDLE;IDLE;;;;SBY;;INTI;-;1;;
2;Jabatim;INTI;1;;41;CISCO 3800;IDLE;SBY-INTI-1-SWC-8-CSO-3800-;;;SBY;-;#N/A;-;1;;
3;Jabatim;INTI;1;;40;KABEL MANAGEMENT ;IDLE;;;;SBY;-;#N/A;-;1;;
4;Jabatim;INTI;1;;39;CISCO 3560;Cisco ME 3800;SBY-INTI-1-SWC-7-CSO-3560-;;;SBY;-;#N/A;-;1;;
5;Jabatim;INTI;1;;38;KABEL MANAGEMENT (1);IDLE;;;;SBY;-;#N/A;-;1;;
6;Jabatim;INTI;1;;37;KABEL MANAGEMENT (1);Cisco Swac 3560;;;;SBY;-;#N/A;-;1;;
7;Jabatim;INTI;1;;36;ALLIED TELESIS AT-8000S/16 PORT (SWITCH);IDLE;SBY-INTI-1-SWC-6-ATS-AT-8000S/16-;;;SBY;-;#N/A;-;1;;
8;Jabatim;INTI;1;;35;IDLE;IDLE;;;;SBY;-;#N/A;-;1;;
9;Jabatim;INTI;1;;34;KABEL MANAGEMENT;Allied Telesis;;;;SBY;-;#N/A;-;1;;
10;Jabatim;INTI;1;;33;MICROTIK HEX LITE RB750R2 (FLEKSIBLE);IDLE;SBY-INTI-1-RTR-5-MKT-RB750R2-;;;SBY;-;#N/A;-;1;;
11;Jabatim;INTI;1;;32;IDLE;IDLE;;;;SBY;-;#N/A;-;1;;
12;Jabatim;INTI;1;;31;CISCO ASR 1004 (1);IDLE;SBY-INTI-1-RTR-4-CSO-1004-;;;SBY;-;#N/A;-;1;;
13;Jabatim;INTI;1;;30;CISCO ASR 1004 (1);IDLE;SBY-INTI-1-RTR-4-CSO-1004-;;;SBY;-;#N/A;-;1;;
14;Jabatim;INTI;1;;29;CISCO ASR 1004 (1);IDLE;SBY-INTI-1-RTR-4-CSO-1004-;;;SBY;-;#N/A;-;1;;
